exercicio;instituicao;cod_ibge;uf;anexo;rotulo;coluna;cod_conta;conta;valor;populacao
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;TotalReceitas;Total Receitas;15213647,56;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Deduções - FUNDEB;TotalReceitas;Total Receitas;1760760,30;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;14233893,81;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;1760760,30;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;266382,58;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;237620,22;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;157816,96;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.02.00.00;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;14573,78;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.00.00;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;143243,18;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.31.00;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;43412,97;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.34.00;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;99830,21;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.3.00.00.00;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;79803,26;5080
2015;Prefeitura Municipal de Divino das Laranjeiras - MG;3122108;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.3.05.00.00;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;79803,26;5080
