exercicio;instituicao;cod_ibge;uf;anexo;rotulo;coluna;cod_conta;conta;valor;populacao
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;TotalReceitas;Total Receitas;24891909,13;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Deduções - FUNDEB;TotalReceitas;Total Receitas;2342820,00;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Outras Deduções da Receita;TotalReceitas;Total Receitas;9788,88;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;24682345,14;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;2342820,00;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;9788,88;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;2375248,67;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;9102,25;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;2336171,08;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;9102,25;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;411428,67;9949
2014;Prefeitura Municipal de Riachuelo - SE;2805901;SE;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.02.00.00;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;4403,87;9949
