exercicio;instituicao;cod_ibge;uf;anexo;rotulo;coluna;cod_conta;conta;valor;populacao
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;TotalReceitas;Total Receitas;34654375,91;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Deduções - FUNDEB;TotalReceitas;Total Receitas;3636804,20;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Outras Deduções da Receita;TotalReceitas;Total Receitas;16813,89;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;30681115,93;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;3636804,20;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;2001,58;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;2352757,74;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;2158512,07;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;1009561,22;10211
2014;Prefeitura Municipal de Apiúna - SC;4201257;SC;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.01.00.00;1.1.1.2.01.00.00 - Imposto sobre a Propriedade Territorial Rural - ITR;442068,01;10211
