exercicio;instituicao;cod_ibge;uf;anexo;rotulo;coluna;cod_conta;conta;valor;populacao
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;TotalReceitas;Total Receitas;49211002,39;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Deduções - FUNDEB;TotalReceitas;Total Receitas;3384000,79;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;47815205,59;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;3384000,79;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;1150204,69;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;1141532,69;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;359848,87;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.02.00.00;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;9536,09;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.00.00;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;349680,39;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.31.00;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;208780,89;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.34.00;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;140899,50;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.08.00.00;"1.1.1.2.08.00.00 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";632,39;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.3.00.00.00;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;781683,82;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.3.05.00.00;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;781683,82;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.2.0.00.00.00;1.1.2.0.00.00.00 - Taxas;8672,00;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.2.1.00.00.00;1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia;8672,00;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.0.0.00.00.00;1.2.0.0.00.00.00 - Receitas de Contribuições;236237,37;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.3.0.00.00.00;1.2.3.0.00.00.00 - Contribuição para Custeio do Serviço de Iluminação Pública;236237,37;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.0.0.00.00.00;1.3.0.0.00.00.00 - Receita Patrimonial;144481,97;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.2.0.00.00.00;1.3.2.0.00.00.00 - Receitas de Valores Mobiliários;144481,97;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.2.2.00.00.00;1.3.2.2.00.00.00 - Dividendos;347,21;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.3.2.5.00.00.00;1.3.2.5.00.00.00 - Remuneração de Depósitos Bancários;144134,76;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.6.0.0.00.00.00;1.6.0.0.00.00.00 - Receita de Serviços;200,00;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.6.0.0.13.00.00;1.6.0.0.13.00.00 - Serviços Administrativos;200,00;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.0.0.00.00.00;1.7.0.0.00.00.00 - Transferências Correntes;46281610,29;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.0.0.00.00.00;1.7.0.0.00.00.00 - Transferências Correntes;3384000,79;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.0.00.00.00;1.7.2.0.00.00.00 - Transferências Intergovernamentais;46281610,29;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.0.00.00.00;1.7.2.0.00.00.00 - Transferências Intergovernamentais;3384000,79;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.00.00.00;1.7.2.1.00.00.00 - Transferências da União;20824064,63;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.00.00.00;1.7.2.1.00.00.00 - Transferências da União;2679862,89;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.01.00.00;1.7.2.1.01.00.00 - Participação na Receita da União;13967341,10;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.01.00.00;1.7.2.1.01.00.00 - Participação na Receita da União;2674940,49;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.01.02.00;1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM;13952625,69;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.01.02.00;1.7.2.1.01.02.00 - Cota-Parte do Fundo de Participação dos Municípios ¿ FPM;2671997,50;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.7.2.1.01.05.00;1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR;14715,41;25509
2014;Prefeitura Municipal de Aldeias Altas - MA;2100303;MA;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.7.2.1.01.05.00;1.7.2.1.01.05.00 - Cota-Parte do Imposto Sobre a Propriedade Territorial Rural ¿ ITR;2942,99;25509
