exercicio;instituicao;cod_ibge;uf;anexo;rotulo;coluna;cod_conta;conta;valor;populacao
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;TotalReceitas;Total Receitas;18021364,60;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Deduções - FUNDEB;TotalReceitas;Total Receitas;1995010,09;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Outras Deduções da Receita;TotalReceitas;Total Receitas;3359,31;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;16404515,11;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;1995010,09;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;3359,31;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;1076403,83;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;3359,31;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;1043873,04;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;3318,81;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;439133,79;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;2782,82;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.02.00.00;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;59335,58;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.1.1.2.02.00.00;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;52,82;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.00.00;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;213154,72;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.31.00;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;207853,69;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.34.00;1.1.1.2.04.34.00 - Retido nas Fontes - Outros Rendimentos;5301,03;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.08.00.00;"1.1.1.2.08.00.00 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";166643,49;8082
2014;Prefeitura Municipal de Baldim - MG;3105004;MG;DCA-Anexo I-C;NA;Outras Deduções da Receita;RO1.1.1.2.08.00.00;"1.1.1.2.08.00.00 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";2730,00;8082
