exercicio;instituicao;cod_ibge;uf;anexo;rotulo;coluna;cod_conta;conta;valor;populacao
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;TotalReceitas;Total Receitas;17226284,21;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Deduções - FUNDEB;TotalReceitas;Total Receitas;2030939,45;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;15793482,97;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Deduções - FUNDEB;RO1.0.0.0.00.00.00;1.0.0.0.00.00.00 - Receitas Correntes;2030939,45;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.0.0.00.00.00;1.1.0.0.00.00.00 - Receita Tributária;599239,65;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.0.00.00.00;1.1.1.0.00.00.00 - Impostos;551531,41;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.00.00.00;1.1.1.2.00.00.00 - Impostos sobre o Patrimônio e a Renda;495030,99;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.02.00.00;1.1.1.2.02.00.00 - Imposto sobre a Propriedade Predial e Territorial Urbana ¿ IPTU;165690,81;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.00.00;1.1.1.2.04.00.00 - Imposto sobre a Renda e Proventos de Qualquer Natureza ¿ IR;249627,27;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.04.31.00;1.1.1.2.04.31.00 - Retido nas Fontes - Trabalho;249627,27;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.2.08.00.00;"1.1.1.2.08.00.00 - Imposto sobre Transmissão ""Inter Vivos"" de Bens Imóveis e de Direitos Reais sobre Imóveis ¿ ITBI";79712,91;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.3.00.00.00;1.1.1.3.00.00.00 - Impostos sobre a Produção e a Circulação;56500,42;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.1.3.05.00.00;1.1.1.3.05.00.00 - Imposto sobre Serviços de Qualquer Natureza ¿ ISSQN;56500,42;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.2.0.00.00.00;1.1.2.0.00.00.00 - Taxas;24556,98;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.2.1.00.00.00;1.1.2.1.00.00.00 - Taxas pelo Exercício do Poder de Polícia;24556,98;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.1.3.0.00.00.00;1.1.3.0.00.00.00 - Contribuição de Melhoria;23151,26;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.0.0.00.00.00;1.2.0.0.00.00.00 - Receitas de Contribuições;1455969,99;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.1.0.00.00.00;1.2.1.0.00.00.00 - Contribuições Sociais;1429261,03;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.1.0.29.00.00;1.2.1.0.29.00.00 - Contribuições para o Regime Próprio de Previdência do Servidor Público;1429261,03;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.1.0.29.01.00;1.2.1.0.29.01.00 - Contribuição Patronal de Servidor Ativo Civil para o Regime Próprio;413410,97;2979
2014;Prefeitura Municipal de São Pedro do Butiá - RS;4319372;RS;DCA-Anexo I-C;NA;Receitas Brutas Realizadas;RO1.2.1.0.29.03.00;1.2.1.0.29.03.00 - Contribuição Patronal ¿ Inativo Civil;99972,69;2979
